,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Alfred,ZA,-33.5906,26.891,70.72,72,98,16.08,overcast clouds
79,Torbay,CA,47.6666,-52.7314,44.49,83,75,10.36,broken clouds
80,Manggar,ID,-2.8833,108.2667,77.79,84,100,7.0,overcast clouds
81,Bredasdorp,ZA,-34.5322,20.0403,65.48,53,100,8.1,overcast clouds
82,Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,19.53,light rain
83,Severo-Kurilsk,RU,50.6789,156.125,45.73,93,100,25.79,moderate rain
84,Mattru,SL,7.6244,-11.8332,73.18,98,96,1.52,light rain
85,Camocim,BR,-2.9022,-40.8411,78.3,76,15,14.63,few clouds
86,Carnarvon,AU,-24.8667,113.6333,66.0,53,80,22.66,broken clouds
87,Takab,IR,36.4009,47.1133,45.27,61,0,0.22,clear sky
88,Turayf,SA,31.6725,38.6637,61.05,59,0,4.61,clear sky
89,Hambantota,LK,6.1241,81.1185,84.54,79,20,6.91,few clouds
90,Anadyr,RU,64.75,177.4833,28.9,63,20,13.42,few clouds
91,Silifke,TR,36.3778,33.9344,70.81,54,0,8.61,clear sky
92,Yar-Sale,RU,66.8333,70.8333,37.63,91,100,14.23,overcast clouds
93,Kavaratti,IN,10.5669,72.642,80.67,77,96,5.86,overcast clouds
94,Lukovetskiy,RU,64.2956,41.9211,44.85,92,99,7.58,overcast clouds
95,Katsuura,JP,35.1333,140.3,73.72,44,92,19.69,overcast clouds
96,Ust-Omchug,RU,61.15,149.6333,21.0,78,97,1.59,overcast clouds
97,Brownwood,US,31.7093,-98.9912,74.97,48,98,9.35,overcast clouds
98,Kavieng,PG,-2.5744,150.7967,84.94,60,40,5.37,scattered clouds
99,Sinegorye,RU,62.0788,150.477,17.74,86,50,0.89,scattered clouds
100,Vitim,RU,59.4511,112.5578,42.85,79,99,8.95,overcast clouds
101,Ponta Delgada,PT,37.7333,-25.6667,71.51,78,75,3.44,broken clouds
102,Yerbogachen,RU,61.2767,108.0108,38.35,94,100,7.49,overcast clouds
103,Pangnirtung,CA,66.1451,-65.7125,22.1,61,58,2.33,broken clouds
104,Mahebourg,MU,-20.4081,57.7,74.25,78,75,9.22,broken clouds
105,Arman,RU,59.7,150.1667,34.34,63,71,5.35,broken clouds
106,Berlevag,NO,70.8578,29.0864,42.8,87,100,9.22,overcast clouds
107,Sanchez,DO,19.2281,-69.6137,74.98,94,8,4.36,clear sky
108,Nikolskoye,RU,59.7035,30.7861,44.49,86,6,7.94,clear sky
109,Dhule,IN,20.9,74.7833,82.29,72,87,4.97,overcast clouds
110,Birobidzhan,RU,48.8,132.95,54.07,29,6,12.62,clear sky
111,Caravelas,BR,-17.7125,-39.2481,75.2,69,16,7.43,few clouds
112,Ribeira Grande,PT,38.5167,-28.7,68.77,90,7,1.99,clear sky
113,Dikson,RU,73.5069,80.5464,34.12,97,100,9.33,overcast clouds
114,Brownsville,US,25.9018,-97.4975,80.91,77,100,5.75,overcast clouds
115,Carutapera,BR,-1.195,-46.02,77.36,84,30,6.26,scattered clouds
116,Andenes,NO,69.3143,16.1194,46.38,87,94,11.5,overcast clouds
117,Cherskiy,RU,68.75,161.3,21.72,92,96,20.98,overcast clouds
118,Tual,ID,-5.6667,132.75,83.16,75,76,7.07,broken clouds
119,Trelew,AR,-43.249,-65.3051,59.97,33,84,8.14,broken clouds
120,Harper,LR,4.375,-7.7169,75.47,90,83,4.27,light rain
121,Brae,GB,60.3964,-1.353,46.51,63,91,17.69,overcast clouds
122,Isangel,VU,-19.55,169.2667,82.51,74,75,6.91,broken clouds
123,Kalpi,IN,26.1167,79.7333,79.57,79,100,8.59,overcast clouds
124,Bubaque,GW,11.2833,-15.8333,81.61,75,19,5.73,few clouds
125,Khandyga,RU,62.6667,135.6,32.4,96,100,5.95,light snow
126,Yellowknife,CA,62.456,-114.3525,44.56,60,40,11.99,scattered clouds
127,Gladstone,AU,-23.85,151.25,78.78,50,100,12.66,overcast clouds
128,Tilichiki,RU,60.4667,166.1,34.7,84,100,13.56,light snow
129,Pinega,RU,64.7001,43.3936,44.49,91,100,7.78,overcast clouds
130,Sitka,US,57.0531,-135.33,48.09,87,100,5.75,moderate rain
131,Kirkwall,GB,58.9848,-2.9587,49.96,81,75,6.91,broken clouds
132,Concepcion Del Oro,MX,24.6333,-101.4167,61.16,61,73,8.79,broken clouds
133,Mikhaylovka,RU,50.06,43.2379,53.78,93,100,6.26,overcast clouds
134,Saint George,US,37.1041,-113.5841,74.95,29,0,5.75,clear sky
135,Port Hedland,AU,-20.3167,118.5667,93.25,24,18,12.66,few clouds
136,Leh,IN,34.1667,77.5833,43.9,44,98,4.88,overcast clouds
137,Ostrovnoy,RU,68.0531,39.5131,40.98,93,99,13.96,overcast clouds
138,Ulaangom,MN,49.9811,92.0667,47.52,35,6,3.22,clear sky
139,Camacha,PT,33.0833,-16.3333,67.42,78,40,13.8,scattered clouds
140,Sokoni,TZ,-6.4333,39.55,73.26,70,10,11.83,clear sky
141,Ancud,CL,-41.8697,-73.8203,45.99,85,100,4.03,overcast clouds
142,Abha,SA,18.2164,42.5053,53.85,47,0,0.0,clear sky
143,Praya,CV,14.9215,-23.5087,77.54,88,40,10.36,scattered clouds
144,Eyl,SO,7.9803,49.8164,78.62,77,41,13.56,scattered clouds
145,Kuruman,ZA,-27.4524,23.4325,68.0,27,96,10.33,overcast clouds
146,Lebu,CL,-37.6167,-73.65,47.61,83,19,14.7,few clouds
147,Biak,ID,-0.9131,122.8766,79.23,79,100,1.72,overcast clouds
148,Cochrane,CA,51.1834,-114.4687,52.43,77,100,20.71,overcast clouds
149,Charters Towers,AU,-20.1,146.2667,87.51,34,59,11.97,broken clouds
150,Safut,JO,32.0336,35.8332,59.32,72,0,1.14,haze
151,Chernyshevskiy,RU,63.0128,112.4714,33.93,89,96,6.24,overcast clouds
152,Muli,MV,2.9167,73.5667,81.36,79,100,19.95,overcast clouds
153,Crevenicu,RO,44.2408,25.5886,54.09,60,100,9.51,overcast clouds
154,General Roca,AR,-39.0333,-67.5833,61.11,17,92,8.05,overcast clouds
155,Kaeo,NZ,-35.1,173.7833,67.32,71,88,6.53,overcast clouds
156,Kyzyl-Suu,KG,42.3414,78.0056,48.4,17,0,2.13,clear sky
157,Maniitsoq,GL,65.4167,-52.9,33.62,97,99,9.6,snow
158,Flinders,AU,-34.5833,150.8552,65.17,66,89,4.0,overcast clouds
159,Fortuna,US,40.5982,-124.1573,54.93,86,23,1.9,few clouds
160,Vanimo,PG,-2.6741,141.3028,84.79,70,54,8.57,broken clouds
161,Kerema,PG,-7.9631,145.7785,83.97,73,100,10.22,overcast clouds
